iter	Passed	Remaining
431	1436	1888
432	1437	1882
433	1439	1877
434	1440	1871
435	1443	1867
436	1445	1862
437	1446	1856
438	1448	1851
439	1450	1845
440	1451	1840
441	1453	1835
442	1455	1829
443	1457	1824
444	1458	1819
445	1460	1814
446	1461	1808
447	1463	1803
448	1465	1798
449	1467	1793
450	1468	1787
451	1470	1782
452	1473	1779
453	1475	1773
454	1476	1768
455	1478	1763
456	1479	1758
457	1481	1752
458	1482	1747
459	1484	1742
460	1485	1737
461	1488	1732
462	1490	1728
463	1491	1723
464	1493	1718
465	1495	1713
466	1497	1709
467	1499	1704
468	1500	1699
469	1504	1696
470	1505	1691
471	1507	1686
472	1509	1681
473	1511	1677
474	1512	1672
475	1514	1667
476	1516	1662
477	1517	1657
478	1519	1652
479	1521	1647
480	1522	1643
481	1524	1638
482	1525	1633
483	1527	1628
484	1529	1624
485	1531	1619
486	1533	1615
487	1534	1610
488	1536	1605
489	1538	1600
490	1539	1596
491	1541	1591
492	1542	1586
493	1544	1581
494	1757	1793
495	1760	1789
496	1763	1785
497	1766	1780
498	1769	1776
499	1772	1772
500	1774	1767
501	1777	1763
502	1780	1759
503	1783	1754
504	1786	1750
505	1788	1746
506	1791	1742
507	1791	1742
508	1835	1773
509	1838	1769
510	1841	1765
511	1845	1762
512	1848	1757
513	1850	1752
514	1852	1747
515	1853	1742
516	1990	1862
517	1992	1857
518	1995	1853
519	1998	1848
520	2001	1843
521	2004	1838
522	2006	1833
523	2009	1828
524	2012	1824
525	2015	1819
526	2018	1814
527	2021	1810
528	2193	1956
529	2209	1963
530	2214	1959
531	2217	1954
532	2221	1949
533	2223	1944
534	2403	2092
535	2406	2086
536	2408	2080
537	2411	2074
538	2414	2068
539	2417	2063
540	2420	2057
541	2423	2051
542	2425	2045
543	2428	2039
544	2431	2033
545	2521	2100
546	2528	2097
547	2532	2092
548	2534	2086
549	2536	2079
550	2539	2073
551	2541	2066
552	2543	2059
553	2545	2052
554	2547	2045
555	2551	2040
556	2552	2034
557	2554	2027
558	2556	2020
559	2557	2013
560	2560	2006
561	2561	2000
562	2563	1993
563	2565	1986
564	2566	1979
565	2568	1972
566	2570	1966
567	2573	1960
568	2575	1954
569	2578	1948
570	2580	1942
571	2582	1935
572	2583	1928
573	2585	1922
574	2587	1915
575	2588	1909
576	2590	1902
577	2592	1896
578	2594	1889
579	2596	1883
580	2598	1877
581	2600	1870
582	2602	1864
583	2604	1858
584	2606	1852
585	2608	1845
586	2609	1839
587	2611	1832
588	2613	1826
589	2615	1820
590	2617	1814
591	2619	1808
592	2620	1801
593	2622	1795
594	2624	1789
595	2626	1783
596	2628	1777
597	2630	1771
598	2632	1765
599	2636	1760
600	2638	1754
601	2641	1749
602	2643	1743
603	2645	1737
604	2647	1731
605	2649	1725
606	2651	1719
607	2653	1713
608	2655	1707
609	2675	1713
610	2679	1708
611	2681	1702
612	2683	1697
613	2686	1691
614	2689	1686
615	2692	1681
616	2694	1675
617	2695	1669
618	2697	1663
619	2699	1657
620	2701	1651
621	2704	1645
622	2707	1641
623	2711	1636
624	2713	1630
625	2715	1625
626	2717	1619
627	2720	1614
628	2722	1608
629	3067	1804
630	3070	1798
631	3073	1792
632	3076	1786
633	3079	1780
634	3082	1774
635	3085	1768
636	3088	1762
637	3091	1756
638	3094	1750
639	3300	1859
640	3304	1853
641	3310	1848
642	3447	1917
643	3450	1910
644	3453	1903
645	3456	1896
646	3458	1890
647	3461	1883
648	3464	1876
649	3467	1869
650	3470	1863
651	3473	1856
652	3475	1849
653	3478	1843
654	3481	1836
655	3484	1829
656	3484	1829
657	3487	1817
658	3490	1811
659	3493	1805
660	3497	1798
661	3500	1792
662	3503	1786
663	3531	1792
664	3543	1790
665	3549	1785
666	3781	1893
667	3783	1886
668	3786	1878
669	3788	1871
670	3791	1864
671	3794	1857
672	3797	1850
673	3800	1843
674	3803	1836
675	3805	1829
676	3808	1822
677	3996	1903
678	3999	1896
679	4002	1889
680	4006	1882
681	4011	1876
682	4015	1869
683	4018	1861
684	4022	1855
685	4029	1849
686	4031	1842
687	4034	1834
688	4037	1827
689	4104	1849
690	4112	1844
691	4115	1837
692	4118	1829
693	4122	1822
694	4141	1822
695	4144	1815
696	4147	1808
697	4224	1832
698	4227	1825
699	4230	1818
700	4233	1810
701	4235	1803
702	4238	1795
703	4242	1788
704	4244	1781
705	4247	1773
706	4250	1766
707	4254	1759
708	4257	1752
709	4260	1745
710	4284	1746
711	4287	1739
712	4290	1731
713	4293	1724
714	4298	1718
715	4303	1711
716	4305	1704
717	4308	1697
718	4313	1690
719	4317	1683
720	4320	1676
721	4324	1669
722	4326	1662
723	4330	1655
724	4336	1649
725	4340	1642
726	4343	1635
727	4347	1628
728	4350	1621
729	4353	1614
730	4355	1607
731	4357	1599
732	4360	1592
733	4363	1585
734	4365	1578
735	4367	1570
736	4370	1564
737	4373	1556
738	4376	1549
739	4379	1542
740	4382	1536
741	4385	1529
742	4388	1522
743	4390	1514
744	4396	1508
745	4397	1501
746	4399	1494
747	4401	1486
748	4403	1479
749	4405	1472
750	4408	1465
751	4410	1458
752	4411	1451
753	4413	1443
754	4415	1436
755	4417	1429
756	4419	1422
757	4421	1415
758	4423	1408
759	4426	1401
760	4427	1394
761	4429	1387
762	4431	1380
763	4433	1373
764	4435	1366
765	4437	1359
766	4439	1352
767	4441	1345
768	4443	1338
769	4445	1331
770	4447	1324
771	4449	1317
772	4452	1310
773	4455	1304
774	4457	1297
775	4459	1290
776	4461	1283
777	4463	1276
778	4465	1270
779	4468	1263
780	4471	1256
781	4473	1250
782	4475	1243
783	4477	1236
784	4480	1230
785	4484	1224
786	4486	1217
787	4488	1210
788	4490	1203
789	4491	1197
790	4494	1190
791	4496	1183
792	4498	1177
793	4501	1170
794	4503	1164
795	4505	1157
796	4514	1152
797	4516	1146
798	4519	1139
799	4524	1133
800	4528	1127
801	4532	1121
802	4535	1115
803	4649	1136
804	4654	1130
805	4657	1123
806	4757	1140
807	4897	1166
808	4900	1159
809	4904	1153
810	4907	1146
811	4910	1139
812	4919	1134
813	4936	1130
814	4944	1125
815	4950	1119
816	4953	1112
817	4956	1105
818	4965	1100
819	4968	1093
820	4971	1086
821	4988	1082
822	4992	1076
823	4995	1069
824	5043	1072
825	5046	1065
826	5052	1059
827	5055	1052
828	5059	1046
829	5062	1039
830	5068	1033
831	5071	1026
832	5074	1019
833	5078	1013
834	5115	1013
835	5118	1006
836	5121	999
837	5126	993
838	5131	987
839	5135	980
840	5139	973
841	5148	968
842	5151	961
843	5163	956
844	5252	965
845	5255	958
846	5258	952
847	5264	945
848	5267	939
849	5270	932
850	5273	925
851	5276	918
852	5279	912
853	5282	905
854	5324	905
855	5327	898
856	5331	891
857	5333	884
858	5336	878
859	5343	871
860	5352	866
861	5355	859
862	5368	854
863	5420	855
864	5426	848
865	5442	844
866	5445	837
867	5449	830
868	5451	823
869	5498	823
870	5502	816
871	5505	809
872	5511	803
873	5514	796
874	5520	790
875	5523	783
876	5540	778
877	5696	793
878	5698	786
879	5708	780
880	5714	773
881	5717	766
882	5720	759
883	5723	752
884	5726	745
885	5731	739
886	5735	732
887	5745	726
888	5749	719
889	5752	712
890	5755	705
891	5758	698
892	5761	691
893	5773	686
894	5777	679
895	5781	672
896	5842	672
897	5846	665
898	5872	661
899	5875	654
900	5878	647
901	5881	640
902	5887	633
903	5890	626
904	5893	620
905	5896	613
906	5899	606
907	5903	599
908	5927	594
909	5930	587
910	5933	580
911	5941	574
912	5944	567
913	5947	560
914	5950	553
915	5954	547
916	5957	540
917	5960	533
918	5966	527
919	5972	520
920	5975	513
921	5978	506
922	5982	500
923	5985	493
924	5988	486
925	5991	479
926	5995	473
927	5999	466
928	6002	459
929	6005	453
930	6009	446
931	6012	439
932	6014	432
933	6016	426
934	6020	419
935	6024	412
936	6043	407
937	6047	400
938	6050	393
939	6053	387
940	6060	380
941	6063	374
942	6066	367
943	6069	360
944	6072	354
945	6075	347
946	6176	346
947	6179	339
948	6181	332
949	6184	326
950	6193	319
951	6197	313
952	6199	306
953	6315	305
954	6317	298
955	6320	291
956	6322	284
957	6342	278
958	6720	287
959	6724	280
960	6726	273
961	6729	266
962	6732	259
963	6735	252
964	6737	244
965	6740	237
966	6743	230
967	6745	223
968	6748	216
969	6751	209
970	7387	221
971	7390	213
972	7393	205
973	7396	197
974	7399	190
975	7403	182
976	7407	174
977	7410	167
978	7413	159
979	7475	152
980	7482	145
981	7486	137
982	7493	129
983	7496	122
984	7500	114
985	7630	108
986	7632	100
987	7635	92
988	7638	85
989	7641	77
990	7643	69
991	7646	61
992	7649	54
993	7652	46
994	7654	38
995	7723	31
996	7739	23
997	7743	15
998	7746	7
999	7750	0
